city;year;gdp_per;gdp_growth;private_inv;pub_inv;export;import;violence;HDI;educ_superior;primary_enrolls;density_pop;value_add;agriculture_add;industry_add;services_add;eletricity;tax_revenue;hosp_rooms;hosp_rooms_per;jobs;jobs_revenue;population;urban_pop;rural_pop;olding;urbing;fundamental
Adamantina;2000;;;;;;;0;0,721;10,83;;81,32;;;;;;51901866;;;5338;547,8;33484;30356;3128;60,91;90,66;
Adamantina;2001;;;;;;;293;;;;81,54;;;;;42665;55946273;;;5418;602,97;33577;30475;3102;64,06;90,76;544
Adamantina;2002;8355,5;;;;;;326;;;;81,68;256900,96;24321,94;46484,02;186095,01;44590;92813462;;;6006;654,7;33636;30635;3001;67,36;91,08;591
Adamantina;2003;9936,93;0,19071828;;;7509556;;289;;;;81,78;305016,63;25213,83;55096,86;224705,94;47876;88043616;;;6223;709,64;33677;30796;2881;70,87;91,45;677
Adamantina;2004;9983,64;0,005834523;;;6864268;;433;;;;81,88;308021,43;22635,92;66538,76;218846,75;49496;...;;;6751;762,66;33715;30958;2757;74,62;91,82;594
Adamantina;2005;11264,43;0,129927981;;;42493060;1218682;395;;;;82;350151,75;24234,87;76271,38;249645,5;52261;93179436;;;6806;769,85;33764;31120;2644;78,58;92,17;474
Adamantina;2006;13247,35;0,176731063;;;81851232;3702790;318;;;;82,04;410262,9;26498,74;98155,69;285608,47;54593;103499043;;;7323;893,81;33784;31283;2501;82,71;92,6;
Adamantina;2007;15142,82;0,143319222;;;77217655;3458584;346;;;92,32;82,06;471744,6;35072,56;106312,8;330359,25;58208;114133521;;;7577;982,65;33791;31447;2344;87,15;93,06;449
Adamantina;2008;15426,13;0,018407928;;;48685783;3622520;408;;;94,19;82,04;475490,81;28683,93;97580,57;349226,31;59712;...;308;9,12;8959;1081,41;33781;31612;2169;91,87;93,58;449
Adamantina;2009;17195,4;0,114165047;;;63343890;1331161;309;;;96,32;82;533033,77;42663,62;93946,66;396423,49;62581;77463032;308;9,12;8928;1113,15;33765;31778;1987;96,83;94,12;500
Adamantina;2010;18911,36;0,10073643;;;58553226;87244;250;0,79;16,49;96,55;82,15;585814,65;33606,84;113294,52;438913,29;63642;108845218;308;9,11;8779;1205,73;33794;31945;1849;101,94;94,53;514
Adamantina;2011;20220,91;0,069784654;;;47534935;106552;271;;;99,1;82,19;626642,63;31928,01;124683,96;470030,66;65077;114846746;308;9,11;8925;1292,96;33811;32047;1764;105,72;94,78;503
Adamantina;2012;21984,27;0,087751449;;315225;33146570;12467;270;;;101,41;82,23;680841,59;38489,91;114027,86;528323,83;69445;;300;8,87;9045;1413,58;33828;32143;1685;109,54;95,02;457
Adamantina;2013;24097,48;0,096674671;;696535,15;29152328;239286;301;;;101,16;82,27;750130,73;42724,45;109703,21;597703,08;68771;;284;8,39;8936;1600,4;33845;32233;1612;113,53;95,24;476
Adamantina;2014;26078,06;0,082733827;;;25100047;474189;279;;;102,33;82,31;814490,45;36724,23;110920,78;666845,43;70545;;279;8,24;9312;1717,02;33862;32318;1544;117,55;95,44;
Adamantina;2015;;;;;22129459;182411;270;;;102,44;82,23;;;;;69599;;279;8,24;9477;1828,78;33879;32398;1481;121,71;95,63;
Adamantina;2016;;;;;;;0;;;106,37;82,24;;;;;;;279;8,23;;;33882;32460;1422;125,52;95,8;
Adolfo;2000;;;;;;;0;0,667;3,26;;17,45;;;;;;14573297;;;387;524,58;3680;3068;612;46,73;83,37;
Adolfo;2001;;;;;;;21;;;;17,48;;;;;7129;14625461;;;398;521,61;3685;3071;614;49,17;83,34;51
Adolfo;2002;7419,09;;;;;;31;;;;17,43;26302,67;11076,93;2523,11;12702,63;9279;14207455;;;682;687,84;3674;3085;589;52,46;83,97;48
Adolfo;2003;8011,58;0,077509784;;;;;30;;;;17,39;28386,17;12412,16;2469,83;13504,18;8468;11188395;;;690;564,22;3666;3099;567;55,48;84,53;49
Adolfo;2004;9696,65;0,206697478;;;;;14;;;;17,34;34435,09;16197,2;3887,16;14350,73;9690;11755122;;;723;634,2;3655;3113;542;58,4;85,17;58
Adolfo;2005;9543,57;-0,018749333;;;;;46;;;;17,28;33869,66;13738;4333,61;15798,04;10563;12672941;;;708;706,27;3644;3127;517;61,61;85,81;48
Adolfo;2006;12515,14;0,310649986;;;;;53;;;;17,27;44269,23;19759,41;5462,29;19047,53;10938;14159916;;;796;765,76;3642;3141;501;65,51;86,24;
Adolfo;2007;15279,09;0,216490025;;;;;42;;;89,09;17,21;53022,96;20875,17;8199,24;23948,55;11077;18296283;;;815;824,98;3629;3155;474;69,04;86,94;46
Adolfo;2008;16319,13;0,060711685;;;;;57;;;90,06;17,09;56478,13;22852,33;7985,73;25640,07;11273;20183350;;;833;895,99;3604;3170;434;73,73;87,96;52
